축제명,개최장소,축제시작일자,시작일_정리,축제종료일자,종료일_정리,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위치,위도,경도,데이터기준일자,제공기관코드,제공기관명
신년 해맞이축제,하늘공원,2026-01-01,20260101.0,2026-01-01,20260101.0,"대북타고, 신년덕담, 일출감상 등",서울특별시 마포구,서울특별시 마포구,,02-3153-8353,https://www.mapo.go.kr/site/culture/index,,서울특별시 마포구 하늘공원로 95,서울특별시 마포구 상암동 481-72,서울,,,2025-05-09,3130000,서울특별시 마포구
마곡위시빌리지,마곡문화의거리,2025-12-01,20251201.0,2025-12-01,20251201.0,경관조성+공연 등,서울특별시 강서구,서울특별시 강서구,서울특별시+강서구의회,02-2600-5890,https://www.mapo.go.kr/site/culture/index,,서울특별시 강서구 마곡동로4길23,서울특별시 강서구 마곡동 797-13,서울,,,2025-04-29,3150000,서울특별시 강서구
개천절 대제전,사직동 단군성전,2025-11-22,20251122.0,2025-11-22,20251122.0,국조 단군의 개국을 기념하는 전통제례 봉행 및 부대행사,(사)현정회,(사)현정회,문화체육관광부+서울특별시+서울특별시 종로구,02-2148-1807,http://blog.naver.com/lgb301,,서울특별시 종로구 인왕산로 22,서울특별시 종로구 사직동 1-28,서울,37.5758942,126.9658016,2025-04-14,3000000,서울특별시 종로구
도심속바다축제,노량진축구장 및 야구장,2025-10-25,20251025.0,2025-10-26,20251026.0,문화예술공연+먹거리부스운영+체험프로그램,"서울특별시 동작구청 문화정책과, 수협노량진수산(주)","서울특별시 동작구청 문화정책과, 수협노량진수산(주)",서울특별시,02-820-9657,www.dongjak.go.kr,,서울특별시 동작구 노량진로 134,서울특별시 동작구 노량진동 62-8,서울,37.51336537,126.9408802,2025-04-29,3190000,서울특별시 동작구
도구로 가을 축제,도구머리공원,2025-10-25,20251025.0,2025-10-25,20251025.0,가을즐기기(단풍길 스케치북 및 포토존)+문화공연+체험부스 및 프리마켓 운영,방배2동 주민자치위원회,방배2동 주민자치위원회,,,https://www.mapo.go.kr/site/culture/index,,,서울특별시 서초구 방배동 산75-6,서울,,,2025-05-09,3210000,서울특별시 서초구
악기거리축제,서초동 악기거리 일대,2025-10-24,20251024.0,2025-10-24,20251024.0,작은음악회+거리콘서트+악기거리 마켓+체험행사 등,서울악기거리축제추진위원회,서울악기거리축제추진위원회,,,https://www.mapo.go.kr/site/culture/index,,서울특별시 서초구남부순환로317길,,서울,,,2025-05-09,3210000,서울특별시 서초구
말죽거리축제,양재 말죽거리 일대,2025-10-23,20251023.0,2025-10-24,20251024.0,마방체험+말죽거리 문화공연+주민노래자랑 및 퍼레이드,말죽거리소상공인연합회,말죽거리소상공인연합회,,,https://www.mapo.go.kr/site/culture/index,,서울특별시 서초구 남부순환로356길 15,,서울,,,2025-05-09,3210000,서울특별시 서초구
제23회 허준축제,서울식물원+마곡광장+마곡중앙로,2025-10-18,20251018.0,2025-10-19,20251019.0,허준콘서트+각종 의료건강 프로그램 운영,강서문화원,서울특별시 강서구,서울특별시+강서구의회,02-2600-6455,https://www.mapo.go.kr/site/culture/index,,서울특별시 강서구 마곡동로 161,,서울,,,2025-04-29,3150000,서울특별시 강서구
2025 금천하모니축제,금천구청 및 안양천 일대,2025-10-18,20251018.0,2025-10-19,20251019.0,공연+전시+체험+마켓 등,서울특별시 금천문화재단,서울특별시 금천구청,서울특별시청,02-2627-1442,https://gcfac.or.kr/content?gcfac_menu_cd=U0107,,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,서울,37.4570657,126.8960369,2025-06-20,3170000,서울특별시 금천구
동대문페스티벌,장한로 일대(우리은행 사거리~장안동사거리),2025-10-18,20251018.0,2025-10-19,20251019.0,"전 세대가 즐기는 이동무대극과 음악공연 및 도시공간을 새롭게 경험하는 캠핑, 정원, 마켓 등",재단법인 동대문문화재단,서울특별시 동대문구청,,02-2127-4711,https://www.mapo.go.kr/site/culture/index,,서울특별시 동대문구 장한로,,서울,,,2025-04-11,3050000,서울특별시 동대문구
제18회 마포나루 새우젓축제,월드컵공원 평화의 광장 일원,2025-10-17,20251017.0,2025-10-19,20251019.0,"개장식, 기념식, 문화·체험행사, 판매장터 운영 등",마포문화원,서울특별시 마포구,서울특별시,02-3153-8353,https://www.mapo.go.kr/site/maponarusf/content/mss240101,,서울특별시 마포구 월드컵로 243-60,서울특별시 마포구 성산동 390-1,서울,,,2025-05-09,3130000,서울특별시 마포구
관악강감찬축제,낙성대공원,2025-10-17,20251017.0,2025-10-19,20251019.0,강감찬 가요제+퍼레이드21+강감찬 토크쇼+예술공연+고려장터+별의별 놀이터+벽란도 21+리틀강감찬 등,관악문화재단,서울특별시 관악구,문화관광체육부+서울특별시청,02-828-5765,https://ggcfest.com/,,서울특별시 관악구 낙성대로 77,서울특별시 관악구 봉천동 228,서울,37.47197208,126.959371,2025-05-25,B551011,한국관광공사
한마음축제,용산아트홀 대극장 미르,2025-10-17,20251017.0,2025-10-17,20251017.0,용산구민의 날을 기념하며 구민화합 도모를 위한 문화행사,서울특별시 용산구청 문화진흥과,서울특별시 용산구청 문화진흥과,,02-2199-7252,https://www.mapo.go.kr/site/culture/index,,서울특별시 용산구 녹사평대로 150,,서울,37.53245442,126.9904785,2025-06-17,3020000,서울특별시 용산구
종로한복축제,광화문광장,2025-10-10,20251010.0,2025-10-11,20251011.0,한복을 중심으로 한 전통행사,(재)종로문화재단,서울특별시 종로구+종로문화재단,서울특별시+문화체육관광부+문화재청+한국관광공사,02-2148-1807,https://www.mapo.go.kr/site/culture/index,,"서울특별시 종로구 새문안로3길 3, 6층",서울특별시 종로구 신문로1가 58-15,서울,37.57065619,126.9723943,2025-04-14,3000000,서울특별시 종로구
2025 웰컴대학로,대학로,2025-10-04,20251004.0,2025-11-08,20251108.0,대학로를 다양하게 즐길 수 있는 공연관광 페스티벌,한국관광공사,한국관광공사,,033-738-3000,https://korean.visitkorea.or.kr/,,"서울특별시 종로구 대학로 120, 대학로 일대",서울특별시 종로구 동숭동 1-27 대학로 일대,서울,37.58187734,127.0022951,2025-04-14,3000000,서울특별시 종로구
중랑 북페스티벌,중랑구청 잔디광장,2025-10-01,20251001.0,2025-10-01,20251001.0,가을에 어울리는 독서문화체험 부스 및 각종 체험행사 등,서울특별시 중랑구청,서울특별시 중랑구청,서울특별시청,02-2094-1834,https://www.jungnang.go.kr/portal/main.do,,서울특별시 중랑구 봉화산로 179,서울특별시 중랑구 신내동 662,서울,37.60656359,127.0927248,2025-06-15,3060000,서울특별시 중랑구
동작댄스데이,노량진축구장,2025-09-28,20250928.0,2025-09-28,20250928.0,댄스대회+길거리 댄스교습소,동작문화재단,서울특별시 동작문화재단,서울특별시,02-820-9657,www.idfac.or.kr/,,서울특별시 동작구 성대로25가길 8,서울특별시 동작구 상도동 198-11,서울,37.49942737,126.9382595,2025-04-29,3190000,서울특별시 동작구
세계불꽃축제with 버스킹,노량진축구장,2025-09-27,20250927.0,2025-09-27,20250927.0,불꽃과 선율이 만나는 특별한 밤 서울불꽃음악회,동작문화재단,서울특별시 동작문화재단,서울특별시,02-820-9356,www.idfac.or.kr/,,서울특별시 동작구 성대로25가길 8,서울특별시 동작구 상도동 198-11,서울,37.49942737,126.9382595,2025-04-29,3190000,서울특별시 동작구
서리풀페스티벌,서초역+서초동 일대,2025-09-27,20250927.0,2025-09-28,20250928.0,고품격 음악회+청년예술가 및 거리예술가들의 거리공연+마켓존운영,서초문화재단,서울특별시 서초구,,,https://www.mapo.go.kr/site/culture/index,,서울특별시 서초구 반포대로,,서울,,,2025-05-09,3210000,서울특별시 서초구
용마폭포문화예술축제,용마폭포공원,2025-09-27,20250927.0,2025-09-27,20250927.0,클래식·성악 등 가을 분위기에 어울리는 공연+각종 체험행사 등,중랑문화재단,중랑문화재단,서울특별시 중랑구청+서울특별시청,02-3407-6532,https://www.jnfac.or.kr/contents/1335,,서울특별시 중랑구 용마산로 250-12,서울특별시 중랑구 면목동 산 1-4,서울,37.573335,127.089125,2025-06-15,3060000,서울특별시 중랑구
동작서커스데이,노량진축구장,2025-09-21,20250921.0,2025-09-21,20250921.0,도심속에서 펼쳐지는 환상의 서커스 대축제,동작문화재단,서울특별시 동작문화재단,서울특별시,02-820-9221,www.idfac.or.kr/,,서울특별시 동작구 성대로25가길 8,서울특별시 동작구 상도동 198-11,서울,37.49942737,126.9382595,2025-04-29,3190000,서울특별시 동작구
K-분식페스티벌 &나루터영화제,노량진축구장,2025-09-20,20250920.0,2025-09-20,20250920.0,K-분식과 영화가 만나 맛과 감성을 함께 즐긴다,서울특별시 동작구청 문화정책과,서울특별시 동작구청,서울특별시,02-820-9657,www.dongjak.go.kr,,서울특별시 동작구 노량진로 134,서울특별시 동작구 노량진동 62-8,서울,37.51336537,126.9408802,2025-04-29,3190000,서울특별시 동작구
잠원나루축제,잠원체육공원,2025-09-20,20250920.0,2025-09-20,20250920.0,왕비친잠행사+주민참여공연+누에생태체험관+먹거리장터 운영,잠원동 주민자치위원회,잠원동 주민자치위원회,,,https://www.mapo.go.kr/site/culture/index,,,서울특별시 서초구 잠원동 58-14,서울,,,2025-05-09,3210000,서울특별시 서초구
강서고고축제,허준근린공원,2025-09-20,20250920.0,2025-09-20,20250920.0,역사문화프로그램+체험부스 등,서울특별시 강서구,서울특별시 강서구,강서구의회,02-2600-6634,https://www.mapo.go.kr/site/culture/index,,서울특별시 강서구 허준로5길 42,,서울,,,2025-04-29,3150000,서울특별시 강서구
2025 대학로 소나무길 거리예술제,대학로,2025-09-20,20250920.0,2025-09-21,20250921.0,차없는거리가 운영되는 소나무길에서의 거리예술제,서울특별시 종로구,서울특별시 종로구,소나무길번영회,02-2148-1813,www.jongno.go.kr,,"서울특별시 종로구 종로1길 36, 8층 문화과",서울특별시 종로구 수송동 146-12,서울,37.57350514,126.9789883,2025-04-14,3000000,서울특별시 종로구
금천GC페스타,가산디지털단지+금천구청 일대,2025-09-13,20250913.0,2025-09-14,20250914.0,공연+전시+체험+마켓 등,서울특별시 금천문화재단,서울특별시 금천구청,서울특별시청,02-2627-1442,https://blog.naver.com/geumcheon1/223555816426?trackingCode=blog_bloghome_searchlist,,서울특별시 금천구 디지털로10길 9,서울특별시 금천구 가산동 60-8,서울,37.477619,126.8890553,2025-06-20,3170000,서울특별시 금천구
세계민속춤 축제,왕십리역광장,2025-09-01,20250901.0,2025-09-30,20250930.0,세계 각국의 전통 민속춤 공연,서울특별시 성동구청,서울특별시 성동구청,,02-2286-5207,https://www.sd.go.kr/tour/contents.do?key=3946&,,서울특별시 성동구 왕십리광장로 17,,서울,37.56144175,127.0383942,2025-06-18,3030000,서울특별시 성동구
태조 이성계 축제,살곶이다리,2025-09-01,20250901.0,2025-10-31,20251031.0,태조 이성계 사냥행차 재연+지역예술인 단체 문화공연+전통무예시연+설치미술 전시 및 포토존 등,서울특별시 성동구청,서울특별시 성동구청,,02-2204-5203,https://www.sd.go.kr/tour/contents.do?key=3947&,,서울특별시 성동구 행당동 58,,서울,37.553094,127.046658,2025-06-18,3030000,서울특별시 성동구
서울숲 JAZZ페스티벌,서울숲공원,2025-09-01,20250901.0,2025-10-31,20251031.0,유명 재즈팀이 참여하는 재즈공연 및 부대행사 등,서울특별시 성동구청,서울특별시 성동구청,,02-2204-6404,https://www.sd.go.kr/tour/contents.do?key=3948&,,서울특별시 성동구 뚝섬로 273,,서울,37.54307015,127.0417991,2025-06-18,3030000,서울특별시 성동구
한여름 밤의 페스티벌,신정고등학교,2025-08-30,20250830.0,2025-08-30,20250830.0,다양한 장르의 음악 공연,서울특별시 강서구+강서문화원,서울특별시 강서구+강서문화원,서울특별시+강서구의회,02-2600-6634,https://www.mapo.go.kr/site/culture/index,,서울특별시 강서구 허준로5길 42,,서울,,,2025-04-29,3150000,서울특별시 강서구
2025 영양고추 H.O.T Festival,서울광장,2025-08-29,20250829.0,2025-08-31,20250831.0,판매+체험+공연+부대행사,경상북도 영양군청,경상북도 영양군청,,054-680-6381,yyg.go.kr,,서울특별시 중구 세종대로 110,서울특별시 중구 태평로1가 31,서울,37.56631769,126.9778284,2025-06-12,5170000,경상북도 영양군
강서문화예술페스티벌,강서아트리움,2025-08-22,20250822.0,2025-08-23,20250823.0,공연+전시 및 체험부스,서울특별시 강서구,서울특별시 강서구,강서구의회,02-2600-5315,https://www.mapo.go.kr/site/culture/index,,서울특별시 강서구 가로공원로 195,,서울,,,2025-04-29,3150000,서울특별시 강서구
반포서래 한불음악축제,조달청 주차장,2025-06-14,20250614.0,2025-06-14,20250614.0,체험부스+먹거리+지역주민 및 초청가수 공연,반포4동 주민자치위원회,반포4동 주민자치위원회,,,https://www.mapo.go.kr/site/culture/index,,서울특별시 서초구 반포대로 217,,서울,,,2025-05-09,3210000,서울특별시 서초구
주막거리 객사전,오류동역 광장,2025-06-13,20250613.0,2025-06-14,20250614.0,"오류동 옛모습인 오류골 주막거리 객사를 재현하여 구민에게 오류동 역사를 알리고, 전시 , 공연 , 전통체험 ,먹거리 등 을 제공하는 전통축제",구로문화원,서울특별시 구로구청,,02-851-0837,https://www.mapo.go.kr/site/culture/index,,서울특별시 구로구 경인로20길 13,서울특별시 구로구 오류동 65-6,서울,37.49435919,126.844697,2025-05-13,3160000,서울특별시 구로구
오구오구 어린이 버스킹 시즌3,관내 어린이공원 등,2025-06-13,20250613.0,2025-06-27,20250627.0,마술+버블+다양한 공연,서울특별시 강서구,서울특별시 강서구,강서구의회,02-2600-6634,https://www.mapo.go.kr/site/culture/index,축제기간 중 매주 금요일 운영,서울특별시 강서구 화곡로 234,,서울,,,2025-04-29,3150000,서울특별시 강서구
가족사랑명품클래식 공연,숭실대학교 한경직기념관,2025-06-07,20250607.0,2025-06-07,20250607.0,세계적인 지휘자 금난새와 함께하는 해설이 있는 클래식공연,서울특별시 동작구청 문화정책과,"서울특별시 동작구청, 동작문화재단",KB국민은행,02-820-9657,www.dongjak.go.kr,,서울특별시 동작구 노량진로 134,서울특별시 동작구 노량진동 62-8,서울,37.51336537,126.9408802,2025-04-29,3190000,서울특별시 동작구
두모포 페스티벌,옥수역,2025-06-01,20250601.0,2025-07-31,20250731.0,갈라뮤지컬+두모포 출정러닝+전시회+체험부스+플리마켓+먹거리장터 등,서울특별시 성동구청,서울특별시 성동구청,,02-2286-5207,https://www.sd.go.kr/tour/contents.do?key=3945&,,서울특별시 성동구 동호로 21,,서울,37.54104689,127.01833,2025-06-18,3030000,서울특별시 성동구
2025년 우장산 그린 페스타,우장산축구장,2025-05-17,20250517.0,2025-05-17,20250517.0,체험 및 부대행사+버스킹 공연 등,서울특별시 강서구,서울특별시 강서구,서울특별시+강서구의회,02-2600-6655,https://www.mapo.go.kr/site/culture/index,,서울특별시 강서구 우장산로10길 112,,서울,,,2025-04-29,3150000,서울특별시 강서구
중랑 서울장미축제,중랑장미공원(묵동교~겸재교 중랑천 일원),2025-05-16,20250516.0,2025-05-24,20250524.0,"장미 개화시기에 맞춰 중랑천 둔치와 수림대 공원 등에서의 문화공연과 먹거리 부스, 포토존 및 전시 등 5.45km 장미터널을 활용한 서울시 브랜드 축제",중랑문화재단,중랑문화재단,서울특별시 중랑구청+서울특별시청,02-3407-6531,https://www.jnfac.or.kr/rose/index,,서울특별시 중랑구 중랑천로 332,서울특별시 중랑구 묵동 378,서울,37.6148099,127.073526,2025-06-15,3060000,서울특별시 중랑구
제9회 겸재문화예술제,겸재정선미술관+어울림공원+궁산근린공원,2025-05-10,20250510.0,2025-05-10,20250510.0,전국사생대회+청소년문화예술제+체험마당 등,강서문화원(겸재정선미술관),서울특별시 강서구,,02-2659-2206,https://culture.gangseo.seoul.kr/,,서울특별시 강서구 양천로47길 36,,서울,,,2025-04-29,3150000,서울특별시 강서구
2025 D.FESTA 대학로 거리공연축제,대학로,2025-05-10,20250510.0,2025-05-11,20250511.0,우수거리공연극 등 거리극축제,(사)한국소극장협회,(사)한국소극장협회,,02-3674-0472,https://smalltheater.or.kr/,,"서울특별시 종로구 동숭4길 14, 2층",서울특별시 종로구 동숭동 12-8,서울,37.583303,127.0043962,2025-04-14,3000000,서울특별시 종로구
강남아트X2025 서울아트쇼,코엑스,2025-05-10,20250510.0,2025-12-26,20251226.0,작품전시 아트페어+홍보부스 및 이벤트 운영+갤러리 스탬프투어,서울특별시 강남구청,서울특별시 강남구청,,02-3423-5545,https://visitgangnam.net/cultural-events/end/2023gangnamart/,,서울특별시 강남구 영동대로 513 등,,서울,,,2025-02-08,3220000,서울특별시 강남구
놀러와 대학로 차 없는 거리 축제,대학로,2025-04-26,20250426.0,2025-09-27,20250927.0,대학로 대로변 차 없는 거리 행사 진행,서울특별시 종로구,서울특별시 종로구,,02-2148-1812,www.jongno.go.kr,,"서울특별시 종로구 종로1길 36, 8층 문화과",서울특별시 종로구 수송동 146-12,서울,37.57350514,126.9789883,2025-04-14,3000000,서울특별시 종로구
2025년마곡문화거리버스킹,마곡문화거리,2025-04-18,20250418.0,2025-05-10,20250510.0,버스킹 공연 및 부대행사,서울특별시 강서구,서울특별시 강서구,강서구의회,02-2600-6634,https://www.mapo.go.kr/site/culture/index,축제기간 중 매주 금요일+토요일,서울특별시 강서구 마곡동로 3길 23,,서울,,,2025-04-29,3150000,서울특별시 강서구
선농대제,선농단역사공원일대 및 용두공원,2025-04-18,20250418.0,2025-04-19,20250419.0,어가행렬+제례봉행+한시대회+선농제향체험프로그램,선농단보존회,재단법인 동대문문화재단,서울특별시 동대문구,02-3295-5566,https://www.mapo.go.kr/site/culture/index,,서울특별시 동대문구 무학로 44길 38,,서울,,,2025-04-11,3050000,서울특별시 동대문구
4.19혁명 국민문화제,국립4.19민주묘지,2025-04-12,20250412.0,2025-04-19,20250419.0,4.19혁명 기념+국민문화제,4.19혁명 국민문화제위원회,4.19 3개단체+서울특별시 강북구청,국가보훈부+서울특별시+서울특별시 교육청+KBS,02-901-6206,www.festival419.org/,,서울특별시 강북구 도봉로89길 13,서울특별시 강북구 수유동 192-59,서울,37.63918553,127.0254518,2025-05-20,3080000,서울특별시 강북구
2025년 강서봄빛페스타,방화근린공원,2025-04-12,20250412.0,2025-04-29,20250429.0,경관조명전시+플리마켓+버스킹 등,서울특별시 강서구,서울특별시 강서구,강서구의회,02-2600-6634,https://www.mapo.go.kr/site/culture/index,,서울특별시 강서구 금낭화로 176,,서울,,,2025-04-29,3150000,서울특별시 강서구
어천절 대제전,사직동 단군성전,2025-04-12,20250412.0,2025-04-12,20250412.0,국조 단군의 승천을 기념하는 전통제례 봉행 및 부대행사,(사)현정회,(사)현정회,문화체육관광부+서울특별시+서울특별시 종로구,02-2148-1807,http://blog.naver.com/lgb301,,서울특별시 종로구 인왕산로 22,서울특별시 종로구 사직동 1-28,서울,37.5758942,126.9658016,2025-04-14,3000000,서울특별시 종로구
겸재책거리축제,겸재작은도서관 인근 중랑천변(우천시: 면목7동복합청사),2025-04-12,20250412.0,2025-04-12,20250412.0,봄에 어울리는 독서문화체험 부스 및 각종 체험행사 등,서울특별시 중랑구청,서울특별시 중랑구청,서울특별시청,02-2094-1834,https://www.jungnang.go.kr/portal/main.do,,서울특별시 중랑구 중랑천로 8 인근,서울특별시 중랑구 면목동 1031-22,서울,37.58612555,127.0745434,2025-06-15,3060000,서울특별시 중랑구
동대문구 봄꽃축제,장안1 수변공원 및 장안벚꽃길 일대,2025-04-05,20250405.0,2025-04-06,20250406.0,봄철 동대문구의 대표적인 축제+축하공연+체험프로그램+먹거리부스 운영,서울특별시 동대문구청,서울특별시 동대문구청,서울특별시,02-2127-4711,https://www.mapo.go.kr/site/culture/index,,서울특별시 동대문구 천호대로 145,,서울,,,2025-04-11,3050000,서울특별시 동대문구
2025 영등포 여의도 봄꽃축제,여의서로 벚꽃길,2025-04-04,20250404.0,2025-04-08,20250408.0,영등포구 여의도 봄꽃축제 봄꽃거리,서울특별시 영등포구청+영등포문화재단,서울특별시 영등포구청+영등포문화재단,서울특별시+국회+우리은행+산업은행+이케아+유한킴벌리+위너브라더스+포켓몬고+정선아리랑문화재단+킵어스(한화생명)+요기보+노르디스크.제이크라+더현대서울+풀무원,02-2670-3128,https://www.mapo.go.kr/site/culture/index,,,서울특별시 영등포구 여의도동 8-1,서울,37.52866136,126.9301289,2025-06-30,3180000,서울특별시 영등포구
2025 불광천 벚꽃축제 은평의 봄,불광천,2025-04-04,20250404.0,2025-04-05,20250405.0,"문화공연, 체험부스 등",서울특별시 은평구,서울특별시 은평구,,02-351-6517,http://www.ep.go.kr,,서울특별시 은평구 은평로 195,서울특별시 은평구 녹번동 84,서울,37.60245742,126.9288229,2025-06-24,3110000,서울특별시 은평구
제22회 강북구 3·1독립운동 기념행사,삼각산 도선사 및 우이동 봉황각,2025-03-01,20250301.0,2025-03-01,20250301.0,"타종식 및 만세행진, 기념식, 체험 프로그램",서울특별시 강북구청,서울특별시 강북구청,천도교 중앙총부 및 삼각산 도선사,02-901-6204,www.gangbuk.go.kr,,서울특별시 강북구 삼양로173길 107-12,서울특별시 강북구 우이동 254,서울,37.66019851,127.0060603,2025-05-20,3080000,서울특별시 강북구
응봉산 개나리 축제,응봉산,2025-03-01,20250301.0,2025-04-30,20250430.0,개나리꽃 개화시기에 맞춰 응봉산 일원에서 백일장+그림그리기+콘서트 등 개최,서울특별시 성동구청,서울특별시 성동구청,,02-2286-5203,https://www.sd.go.kr/tour/contents.do?key=1915&,,서울특별시 성동구 독서당로 362,,서울,37.54811799,127.0296025,2025-06-18,3030000,서울특별시 성동구
상산 김도연 기념행사,강서구민회관 우장홀,2025-02-25,20250225.0,2025-02-25,20250225.0,상산 김도연 선생 기념행사,서울특별시 강서구,서울특별시 강서구,서울특별시+강서구의회,02-2600-5890,https://www.mapo.go.kr/site/culture/index,,서울특별시 강서구 우장산로66,,서울,,,2025-04-29,3150000,서울특별시 강서구
정월대보름 축제,양재천 영동1교 인근,2025-02-11,20250211.0,2025-02-11,20250211.0,축하공연+먹거리장터+전통문화 재현 및 세시민속놀이 체험 프로그램 운영,양재1동+양재2동+내곡동 주민자치위원회,양재1동+양재2동+내곡동 주민자치위원회,,,https://www.mapo.go.kr/site/culture/index,,서울특별시 서초구 양재천동자전거길 484,서울특별시 서초구 양재동 126,서울,,,2025-05-09,3210000,서울특별시 서초구
2025 아차산 해맞이 축제,아차산 어울림 광장,2025-01-01,20250101.0,2025-01-01,20250101.0,새해덕담+ 문화공연+ 일출감상,서울특별시 광진구,서울특별시 광진구,,02-450-7596,https://www.mapo.go.kr/site/culture/index,,서울특별시 광진구 워커힐로 127,서울특별시 광진구 광장동 5-117,서울,,,2025-06-25,3040000,서울특별시 광진구
응봉산 해맞이 축제,응봉산,2025-01-01,20250101.0,2025-01-01,20250101.0,응봉산에서 해돋이 감상+새해맞이공연+먹거리장터 등 개최,서울특별시 성동구청,서울특별시 성동구청,,02-2286-5202,https://www.sd.go.kr/tour/contents.do?key=1914&,,서울특별시 성동구 독서당로 362,,서울,37.54811799,127.0296025,2025-06-18,3030000,서울특별시 성동구
